,freq,ave,std,ave+std,max
2133,3332.8125,0.3344578331468101,0.21048015573733678,0.9658983003588204,0.8483858920757342
2134,3334.375,0.36892227671180766,0.2414347986495432,1.0932266726604372,1.1070830564878
2135,3335.9375,0.42126716223336774,0.2524234231556439,1.1785374317002995,1.1572882896622065
2136,3337.5,0.4193829210250715,0.21753629550768308,1.0719918075481207,0.7630360568568089
2137,3339.0625,0.40818611702132795,0.23289554023640402,1.10687273773054,0.9174161300323092
2138,3340.625,0.39331956230512016,0.22416943978481818,1.0658278816595748,1.1668829658799205
2139,3342.1875,0.3462535904741942,0.20729306936398312,0.9681327985661434,0.8828027869169722
2140,3343.75,0.31823425639856373,0.2109775709080543,0.9511669691227266,0.84030442574202
2141,3345.3125,0.3781198803971879,0.25555502086321635,1.144784942986837,1.065718074362375
2142,3346.875,0.3884577738881214,0.23148867455194896,1.0829237975439683,0.875808067065358
2143,3348.4375,0.37155216909982136,0.20463006576007584,0.9854423663800489,0.8634681453497511
2144,3350.0,0.346577400825548,0.1772858428522056,0.8784349293821648,0.7831367808514436
2145,3351.5625,0.34564722426392797,0.18495355899641774,0.9005079012531811,0.8514394054733809
2146,3353.125,0.4151155747408656,0.1942997281393379,0.9980147591588793,0.8332699709326356
2147,3354.6875,0.37334994404965566,0.18524849142294844,0.929095418318501,0.752976269352142
2148,3356.25,0.29439359106699636,0.15580894026527684,0.7618204118628269,0.6474955664423697
2149,3357.8125,0.33941396872707863,0.18862221469232615,0.905280612804057,0.7425783384197048
2150,3359.375,0.3938864985385365,0.2045760650027368,1.007614693546747,0.8093284790666968
2151,3360.9375,0.3743318999375202,0.2002297164151248,0.9750210491828946,0.8881502613405091
2152,3362.5,0.35808684679454184,0.21520290863305555,1.0036955726937085,0.9028985945588386
2153,3364.0625,0.3591589604020418,0.2327560338104807,1.057427061833484,1.1250197871724605
2154,3365.625,0.4065667642436234,0.2487248971896412,1.152741455812547,1.0655167246220625
2155,3367.1875,0.3958342112128979,0.25233423269543553,1.1528369092992046,1.287012060002181
2156,3368.75,0.3276298752593449,0.22915209481965562,1.0150861597183118,1.024071222484206
2157,3370.3125,0.33453731501590184,0.23935539418938948,1.0526034975840703,0.9621848720610381
2158,3371.875,0.30060965052439775,0.17637909702399263,0.8297469415963756,0.6979629171542188
2159,3373.4375,0.34049187660607644,0.21961811967589628,0.9993462356337652,0.8951568753355481
2160,3375.0,0.35117637782025274,0.2335406289293042,1.0517982646081654,1.0121071739937002
2161,3376.5625,0.32427497918100545,0.19096824988667663,0.8971797288410354,1.0990494848812709
2162,3378.125,0.3627345026838695,0.21696839400192713,1.013639684689651,0.8778854112270953
